id_product;id_manufacturer;online_only;reference
1999990343;0;0;203041105
1999990344;0;0;203041107
1999990345;0;0;203041108
1999990346;0;0;203041110
1999990347;0;0;203041111
1999990348;0;0;203041113
1999990349;0;0;203041114
1999990350;0;0;203041118
1999990351;0;0;203041080
1999990352;0;0;203041082
1999990353;0;0;203041084
1999990354;0;0;203041086
1999990355;0;0;203041087
1999990356;0;0;203041090
1999990357;0;0;203041097
1999990358;0;0;203041099
1999990359;0;0;203041102
1999990360;0;0;203041103
1999990361;0;0;203041104
1999990362;0;0;203041106
1999990363;0;0;203041109
1999990364;0;0;203041115
1999990365;0;0;203041116
1999990366;0;0;203041117
1999990367;0;0;203041119
1999990368;0;0;203041120
1999990370;0;0;203100580004
1999990371;0;0;203100580005
1999990372;0;0;203100580006
1999990373;0;0;106600150005
1999990374;0;0;106600150560
1999990375;0;0;106600150060
1999990376;0;0;106600150055
1999990377;0;0;106600150071
1999990378;0;0;106600150573
1999990379;0;0;106600150075
1999990380;0;0;106600150073
1999990381;0;0;106600150078
1999990382;0;0;106600150077
1999990383;0;0;106600150079
1999990384;0;0;106600150080
1999990385;0;0;106600150082
1999990386;0;0;106600150083
1999990387;0;0;106600150527
1999990388;0;0;106600150508
1999990389;0;0;106600150531
1999990390;0;0;106600150524
1999990391;0;0;106600150040
1999990392;0;0;106600150160
1999990393;0;0;106600150150
1999990394;0;0;106600150153
1999990395;0;0;106600150156
1999990396;0;0;106600150163
1999990397;0;0;106600150164
1999990398;0;0;106600150165
1999990399;0;0;106600150525
1999990400;0;0;106600150506
1999990401;0;0;106600150168
1999990402;0;0;106600150259
1999990403;0;0;106600150161
1999990404;0;0;106600150564
1999990405;0;0;106600150571
1999990406;0;0;106600150581
1999990407;0;0;106600150570
1999990408;0;0;106600150244
1999990409;0;0;106600150242
1999990410;0;0;106600150580
1999990411;0;0;106600150245
1999990412;0;0;106600150248
1999990413;0;0;106600150247
1999990414;0;0;106600150551
1999990415;0;0;106600150250
1999990416;0;0;106600150246
1999990417;0;0;106600150255
1999990418;0;0;106600150254
1999990419;0;0;106600150258
1999990420;0;0;106600150530
1999990421;0;0;106600150256
1999990422;0;0;106600150554
1999990423;0;0;106600150569
1999990424;0;0;106600150553
1999990425;0;0;106600150543
1999990426;0;0;106600150542
1999990427;0;0;106600150574
1999990428;0;0;106600150566
1999990429;0;0;106600150537
1999990430;0;0;106600150546
1999990431;0;0;106600150526
1999990432;0;0;106600150522
1999990433;0;0;106600150563
1999990434;0;0;203020792
1999990435;0;0;203020794
1999990436;0;0;203023038
1999990437;0;0;203100580079
1999990438;0;0;203100580053
1999990439;0;0;203100580054
1999990440;0;0;203100580023
1999990441;0;0;203100580033
1999990442;0;0;203100580028
1999990443;0;0;203000024473
1999990444;0;0;203000024475
1999990445;0;0;203000024932
1999990446;0;0;203000024933
1999990447;0;0;203000024934
1999990448;0;0;203000024482
1999990449;0;0;203000024484
1999990450;0;0;015033
1999990451;0;0;015034
1999990452;0;0;015035
1999990453;0;0;203100580030
1999990454;0;0;203100580073
1999990455;0;0;203100580032
1999990456;0;0;028005
1999990457;0;0;028006
1999990458;0;0;028007
1999990459;0;0;203000020188
1999990460;0;0;203000020189
1999990461;0;0;203000020190
1999990462;0;0;203000020191
1999990463;0;0;203000020192
1999990464;0;0;203000020196
1999990465;0;0;203000020193
1999990466;0;0;203000020194
1999990467;0;0;203000020197
1999990468;0;0;203000020195
1999990469;0;0;203000020198
1999990470;0;0;203000020199
1999990471;0;0;203000020200
1999990472;0;0;203000020201
1999990473;0;0;203000020202
1999990474;0;0;203000020203
1999990475;0;0;203000020204
1999990476;0;0;205300300018
1999990477;0;0;205300300021
1999990478;0;0;205300300017
1999990479;0;0;014400940035
1999990480;0;0;014400940040
1999990481;0;0;014400940045
1999990482;0;0;014400940050
1999990483;0;0;014400940055
1999990484;0;0;014400940058
1999990485;0;0;014400940056
1999990486;0;0;014400940060
1999990487;0;0;014400940089
1999990488;0;0;014400940064
1999990489;0;0;014400940066
1999990490;0;0;014400941727
1999990491;0;0;203000024317
1999990492;0;0;203000024318
1999990493;0;0;203028037
1999990494;0;0;203028038
1999990495;0;0;203028043
1999990496;0;0;203028044
1999990497;0;0;203028045
1999990498;0;0;014400941560
1999990499;0;0;014400941201
1999990500;0;0;014400941561
1999990501;0;0;014400941203
1999990502;0;0;014400940203
1999990503;0;0;014400940209
1999990504;0;0;014400941202
1999990505;0;0;014400941216
1999990506;0;0;014400941208
1999990507;0;0;014400941563
1999990508;0;0;014400940204
1999990509;0;0;014400941209
