id_image;id_product;position;cover
2644490;1025050033;1;1
2644493;1025050062;1;1
2644627;1030030039;1;1
2644884;1041930131;1;1
2645036;1042416159;1;1
2645058;1043462;1;1
2645059;1043463;1;1
2645219;1062791;1;1
2645253;1065601;1;1
2645254;1065982;1;1
2645577;1139010153;4;
2645578;1139010153;5;
2645590;1112455;10;
2645591;1112455;11;
2645592;1112455;12;
2645593;1112455;13;
2645594;1112455;14;
2645595;1112455;15;
2645975;0;61;
2645976;0;62;
2645977;0;63;
2645980;0;64;
2645981;0;65;
2645982;0;66;
2646008;0;67;
2646029;1047677;3;
2646030;1047677;4;
2646031;1047677;5;
2646032;1047677;6;
2646510;1160680017;5;
2646511;1160680017;6;
2646512;1160680017;7;
2646873;1139010045;7;
2646874;1139010045;8;
2646875;1139010045;9;
2646876;1139010045;10;
2646877;1139010045;11;
2646878;1139010162;11;
2646879;1139010162;12;
2646880;1139010162;13;
2646881;1139010162;14;
2646882;1139010162;15;
2646883;1139010162;16;
2646884;1139010162;17;
2646885;1139010162;18;
2646886;1139010162;19;
2647946;1223760222;1;1
2647947;1223760222;2;
2647948;1223760222;3;
2647949;1223760222;4;
2647950;1223760222;5;
2647955;1203026456;1;1
2648015;1198800136;1;1
2648024;1255000053;1;1
2648398;1198800219;1;1
2648399;1198800219;2;
2648446;1198800059;1;1
2648447;1198800059;2;
2648448;1198800059;3;
2648466;1200880004;1;1
2648467;1200880004;2;
2648468;1200880004;3;
2648469;1200880004;4;
2648525;1203023266;1;1
2648528;1203023451;1;1
2648741;1203027132;1;1
2648787;1203097200;1;1
2648788;1203097201;1;1
2648864;1255000002;1;1
2649093;19261123;1;1
2649243;1223760222;6;
2649244;1223760222;7;
2649245;1223760222;8;
2649246;1223760222;9;
2649248;1223760222;10;
2649249;1223760222;11;
2649250;1223760222;12;
2649251;1223760222;13;
2649253;1223760222;14;
2649254;1223760222;15;
2649255;1223760222;16;
2649256;1223760222;17;
2649258;1223760222;18;
2649259;1223760222;19;
2649260;1223760222;20;
2649261;1223760222;21;
2649263;1223760222;22;
2649264;1223760222;23;
2649265;1223760222;24;
2649266;1223760222;25;
2649268;1223760222;26;
2649269;1223760222;27;
2649270;1223760222;28;
2649271;1223760222;29;
2649273;1223760222;30;
2649274;1223760222;31;
2649275;1223760222;32;
2649276;1223760222;33;
2649278;1223760222;34;
2649279;1223760222;35;
2649280;1223760222;36;
2649281;1223760222;37;
2649302;1203026456;2;
2649303;1203026456;3;
2649590;1198800136;2;
2649591;1198800136;3;
2649592;1198800136;4;
2649593;1198800136;5;
2649594;1198800136;6;
2649659;1255000053;2;
2652036;1198800219;3;
2652037;1198800219;4;
2652038;1198800219;5;
2652039;1198800219;6;
2652040;1198800219;7;
2652041;1198800219;8;
2652042;1198800219;9;
2652043;1198800219;10;
2654813;1203026211;1;1
2657027;1001341337;1;1
2663198;1203096495;1;1
2663199;1203096496;1;1
2663309;1098872;1;1
2663310;1098872;2;
2663311;1098872;3;
2663315;1146420318;1;1
2663316;1146420130;1;1
2663523;1254190003;1;1
2663534;1146420030;1;1
2663535;1146429994;1;1
2663551;1023350512;1;1
2663555;1146420100;1;1
2663646;1132788;1;1
2663648;1206400040;1;1
2663649;1206400042;1;1
2663772;1012910008;1;1
2663791;1014710136;1;1
2663865;1029691;1;1
2664171;1095955;1;1
2664193;1098917;1;1
2664194;1098919;1;1
2664250;1102958;1;1
2664355;1110388;1;1
2664356;1110388;2;
2664519;1123482;1;1
2664521;1123663;1;1
2664522;1123663;2;
2664546;1125841;1;1
2664547;1125841;2;
2664673;1171400034;1;1
2664793;1200900097;1;1
2664955;19002105;1;1
2665021;19976185;1;1
2665582;1203096495;2;
2665583;1203096495;3;
2665584;1203096495;4;
2665585;1203096496;2;
2665586;1203096496;3;
2666394;1203096495;5;
2666395;1203096495;6;
2666396;1203096495;7;
2666397;1203096496;4;
2666398;1203096496;5;
2667186;1098872;4;
2667187;1098872;5;
2667188;1098872;6;
2667189;1098872;7;
2667190;1098872;8;
2667203;1146420318;2;
2667204;1146420318;3;
2667205;1146420130;2;
2667206;1146420130;3;
2667207;1146420130;4;
2668233;1254190003;2;
2668234;1254190003;3;
2668235;1254190003;4;
2668276;1146420030;2;
2668277;1146420030;3;
2668278;1146420030;4;
2668279;1146429994;2;
2668280;1146429994;3;
2668348;1023350512;2;
2668349;1023350512;3;
2668350;1023350512;4;
2668382;1146420100;2;
2668383;1146420100;3;
2668384;1146420100;4;
2669109;1132788;2;
2669111;1206400040;2;
2669112;1206400040;3;
2669113;1206400042;2;
